0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.052,0.113,0.251,0.284,0.819,0.819,0.943,0.51,0.735,0.735,0.632,0.828,0.751,0.751
0.033,0.05,0.086,0.197,0.175,0.844,0.844,0.802,0.802,0.851,0.578,0.578,0.648,0.593
0.038,0.06,0.092,0.179,0.207,0.803,0.803,0.826,0.826,0.83,0.61,0.61,0.592,0.698
0.033,0.052,0.092,0.192,0.238,0.496,0.496,0.821,0.821,0.838,0.838,0.699,0.803,0.803
0.114,0.267,0.267,0.688,0.688,0.415,0.44,0.971,0.921,0.921,0.785,0.785,0.718,0.701
0.953,0.693,0.693,0.796,0.796,0.754,0.604,0.604,0.342,0.342,0.012,0.076,0.183,0.132
0.034,0.084,0.154,0.213,0.304,0.853,0.853,0.902,0.902,0.773,0.773,0.624,0.624,0.707
0.043,0.087,0.103,0.151,0.213,0.409,0.521,0.853,0.697,0.697,0.616,0.757,0.757,0.758
0.801,0.801,0.859,0.859,0.733,0.733,0.739,0.485,0.485,0.031,0.064,0.095,0.197,0.238
0.033,0.048,0.085,0.174,0.194,0.854,0.854,0.799,0.799,0.846,0.575,0.575,0.542,0.657
0.039,0.06,0.088,0.173,0.204,0.813,0.813,0.834,0.834,0.567,0.567,0.716,0.716,0.638
0.037,0.047,0.074,0.168,0.184,0.759,0.759,0.881,0.751,0.751,0.599,0.599,0.585,0.585
0.805,0.805,0.869,0.762,0.762,0.735,0.621,0.621,0.515,0.033,0.063,0.101,0.207,0.181
0.036,0.051,0.076,0.176,0.269,0.73,0.73,0.855,0.822,0.822,0.463,0.7,0.602,0.651
0.777,0.777,0.913,0.81,0.81,0.678,0.678,0.56,0.56,0.038,0.059,0.082,0.198,0.179
0.774,0.774,0.881,0.758,0.758,0.729,0.625,0.512,0.512,0.04,0.053,0.07,0.199,0.174
0.027,0.066,0.109,0.178,0.222,0.466,0.544,0.897,0.832,0.832,0.734,0.734,0.71,0.71
0.028,0.067,0.112,0.179,0.229,0.445,0.539,0.889,0.805,0.805,0.767,0.767,0.703,0.703
0.035,0.058,0.096,0.203,0.306,0.438,0.536,0.834,0.834,0.771,0.771,0.841,0.684,0.764
0.028,0.06,0.09,0.187,0.225,0.805,0.805,0.88,0.786,0.786,0.517,0.517,0.631,0.705
0.045,0.038,0.079,0.197,0.286,0.481,0.481,0.891,0.846,0.846,0.785,0.785,0.716,0.712
0.035,0.063,0.095,0.203,0.171,0.77,0.77,0.874,0.874,0.504,0.716,0.716,0.614,0.614
