0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.064,0.345,-0.23,0.161,-0.075,0.351,0.351,-0.411,-0.411,0.419,0.223,0.223,0.644,-0.413
0.598,-0.239,-0.472,0.011,0.092,-0.019,-0.019,-0.297,-0.297,-0.015,-0.141,-0.141,-0.129,0.298
-0.238,-0.135,0.179,0.337,0.116,-0.2,-0.2,-0.161,-0.161,0.37,-0.063,-0.063,0.416,-0.469
-0.568,0.353,0.084,0.154,-0.088,-0.05,-0.05,-0.132,-0.132,-0.207,0.088,0.088,-0.062,0.341
-0.195,0.219,0.191,-0.05,0.089,0.046,0.046,0.109,0.109,-0.31,-0.383,-0.383,-0.103,-0.447
-0.037,0.249,0.256,-0.662,0.472,0.161,0.161,-0.145,-0.145,-0.15,0.044,0.044,0.261,-0.061
-0.087,-0.096,0.127,-0.142,-0.083,0.263,0.263,-0.051,-0.051,0.38,-0.109,-0.109,-0.084,0.081
-0.019,-0.137,0.306,-0.003,0.235,-0.011,-0.011,-0.353,-0.353,0.089,0.625,0.625,0.175,0.072
0.097,-0.376,-0.367,0.11,-0.37,0.142,0.142,-0.053,-0.053,-0.416,0.017,0.017,0.245,-0.165
-0.116,-0.107,-0.321,-0.267,0.155,0.224,0.224,-0.176,-0.176,0.277,-0.086,-0.086,-0.273,0.052
-0.059,0.452,-0.388,-0.087,-0.111,-0.494,-0.494,0.221,0.221,0.019,0.072,0.072,0.062,-0.192
0.164,-0.079,0.207,-0.161,-0.463,-0.15,-0.15,-0.163,-0.163,0.284,-0.138,-0.138,0.225,-0.295
-0.388,0.361,0.204,-0.023,-0.303,0.186,0.186,-0.168,-0.168,-0.042,-0.089,-0.089,0.023,0.135
0.09,0.22,0.03,0.507,-0.439,0.154,0.154,0.061,0.061,-0.201,0.08,0.08,-0.292,0.13
