0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.276,-0.276,0.115,-0.115,0.072,-0.072,0.0
0.274,-0.274,0.0,0.0,0.0,0.041,-0.041,0.038,-0.038,0.0
0.286,-0.286,0.0,0.0,0.0,0.0,0.0,0.066,-0.066,0.0
0.301,-0.301,0.0,0.0,0.0,0.082,-0.082,0.079,-0.079,0.0
0.258,-0.258,0.0,0.0,0.0,0.0,0.099,-0.099,0.0,0.0
0.271,-0.271,0.0,0.0,0.0,0.0,0.096,-0.096,0.0,0.0
0.0,0.29,-0.29,0.0,0.0,0.0,0.068,-0.068,0.0,0.0
0.0,0.0,0.0,0.182,-0.182,0.213,-0.213,0.129,-0.129,0.0
0.259,-0.259,0.0,0.0,0.0,0.113,-0.113,0.107,-0.107,0.0
0.232,-0.232,0.0,0.0,0.0,0.0,0.046,-0.046,0.0,0.0
