0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.274,-0.274,0.059,-0.059,0.0,0.108,-0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.002,-0.002,0.004,-0.004,0.0,0.0,0.0,0.004,-0.004
0.234,-0.234,0.0,0.106,-0.106,0.0,0.057,-0.057,0.0,0.0,0.0,0.0,0.0,0.004,-0.004,0.0,0.0,0.0,0.003,-0.003,0.0,0.0
0.236,-0.236,0.0,0.0,0.0,0.033,-0.033,0.05,-0.05,0.013,-0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.005,0.0,0.0
0.299,-0.299,0.0,0.056,-0.056,0.022,-0.022,0.0,0.0,0.009,-0.009,0.0,0.0,0.005,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.275,-0.275,0.0,0.102,-0.102,0.115,-0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.004,-0.004,0.003,-0.003,0.0,0.0,0.0,0.002,-0.002
0.226,-0.226,0.137,-0.137,0.0,0.121,-0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.002,-0.002,0.0,0.0,0.004,-0.004,0.0,0.0,0.0
0.274,-0.274,0.0,0.129,-0.129,0.096,-0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.005,-0.005,0.0,0.0,0.0,0.001,-0.001,0.003,-0.003
0.276,-0.276,0.082,-0.082,0.035,-0.035,0.035,-0.035,0.0,0.01,-0.01,0.0,0.0,0.004,-0.004,0.0,0.0,0.0,0.002,-0.002,0.0,0.0
0.278,-0.278,0.106,-0.106,0.07,-0.07,0.0,0.0,0.0,0.01,-0.01,0.0,0.0,0.004,-0.004,0.0,0.0,0.0,0.003,-0.003,0.0,0.0
0.176,-0.176,0.244,-0.244,0.0,0.142,-0.142,0.0,0.0,0.0,0.0,0.002,-0.002,0.002,-0.002,0.0,0.004,-0.004,0.0,0.0,0.001,-0.001
