0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.14,-0.14,0.1,-0.1,0.086,-0.086,0.0,0.0,0.0,-0.036,0.036,0.0,0.0,0.023,-0.023,0.0,0.0,0.0,-0.026,0.026,0.0,0.0
0.197,-0.197,0.188,-0.188,-0.006,0.006,0.0,0.0,0.0,-0.074,0.074,0.0,0.0,0.137,-0.137,0.0,0.0,0.0,0.041,-0.041,0.0,0.0
-0.032,0.032,-0.055,0.055,-0.019,0.019,0.0,0.0,0.0,-0.063,0.063,0.0,0.0,-0.036,0.036,0.0,0.0,0.0,-0.021,0.021,0.0,0.0
-0.276,0.276,0.217,-0.217,0.039,-0.039,0.0,0.0,0.0,0.005,-0.005,0.0,0.0,0.034,-0.034,0.0,0.0,0.0,0.052,-0.052,0.0,0.0
0.217,-0.217,0.173,-0.173,0.133,-0.133,0.0,0.0,0.0,0.013,-0.013,0.0,0.0,0.012,-0.012,0.0,0.0,0.0,0.071,-0.071,0.0,0.0
-0.177,0.177,0.261,-0.261,0.089,-0.089,0.0,0.0,0.0,-0.054,0.054,0.0,0.0,0.034,-0.034,0.0,0.0,0.0,-0.091,0.091,0.0,0.0
0.23,-0.23,-0.149,0.149,0.017,-0.017,0.0,0.0,0.0,0.125,-0.125,0.0,0.0,0.108,-0.108,0.0,0.0,0.0,-0.086,0.086,0.0,0.0
-0.028,0.028,-0.187,0.187,-0.068,0.068,0.0,0.0,0.0,0.096,-0.096,0.0,0.0,0.143,-0.143,0.0,0.0,0.0,0.048,-0.048,0.0,0.0
0.005,-0.005,0.25,-0.25,0.0,-0.0,0.0,0.0,0.0,0.14,-0.14,0.0,0.0,0.037,-0.037,0.0,0.0,0.0,-0.092,0.092,0.0,0.0
0.014,-0.014,-0.032,0.032,0.025,-0.025,0.0,0.0,0.0,0.061,-0.061,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.016,-0.016,0.0,0.0
0.104,-0.104,0.035,-0.035,0.011,-0.011,0.0,0.0,0.0,0.281,-0.281,0.0,0.0,-0.012,0.012,0.0,0.0,0.0,0.026,-0.026,0.0,0.0
-0.111,0.111,-0.251,0.251,-0.13,0.13,0.0,0.0,0.0,0.014,-0.014,0.0,0.0,0.113,-0.113,0.0,0.0,0.0,-0.069,0.069,0.0,0.0
-0.129,0.129,-0.163,0.163,-0.055,0.055,0.0,0.0,0.0,0.125,-0.125,0.0,0.0,-0.083,0.083,0.0,0.0,0.0,0.03,-0.03,0.0,0.0
-0.191,0.191,0.0,-0.0,0.047,-0.047,0.0,0.0,0.0,-0.046,0.046,0.0,0.0,-0.037,0.037,0.0,0.0,0.0,0.029,-0.029,0.0,0.0
0.065,-0.065,0.016,-0.016,-0.027,0.027,0.0,0.0,0.0,-0.013,0.013,0.0,0.0,0.114,-0.114,0.0,0.0,0.0,0.056,-0.056,0.0,0.0
0.238,-0.238,-0.032,0.032,-0.052,0.052,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.119,0.119,0.0,0.0,0.0,0.004,-0.004,0.0,0.0
-0.073,0.073,0.066,-0.066,-0.021,0.021,0.0,0.0,0.0,0.126,-0.126,0.0,0.0,0.101,-0.101,0.0,0.0,0.0,0.077,-0.077,0.0,0.0
0.053,-0.053,-0.001,0.001,0.007,-0.007,0.0,0.0,0.0,-0.002,0.002,0.0,0.0,-0.138,0.138,0.0,0.0,0.0,0.017,-0.017,0.0,0.0
0.204,-0.204,0.106,-0.106,-0.06,0.06,0.0,0.0,0.0,-0.003,0.003,0.0,0.0,-0.129,0.129,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.002,-0.002,-0.314,0.314,-0.165,0.165,0.0,0.0,0.0,-0.072,0.072,0.0,0.0,-0.034,0.034,0.0,0.0,0.0,0.031,-0.031,0.0,0.0
0.141,-0.141,-0.135,0.135,-0.065,0.065,0.0,0.0,0.0,-0.164,0.164,0.0,0.0,0.136,-0.136,0.0,0.0,0.0,-0.023,0.023,0.0,0.0
0.0,-0.0,-0.145,0.145,-0.122,0.122,0.0,0.0,0.0,0.023,-0.023,0.0,0.0,-0.051,0.051,0.0,0.0,0.0,-0.016,0.016,0.0,0.0
