0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.79,0.79,0.767,0.767,0.665,0.525,0.525,0.477,0.314,0.238,0.195,0.111,0.099,-0.032,-0.032,-0.007,-0.007,0.058,0.047,0.034,0.016,0.016
0.879,0.879,0.904,0.675,0.675,0.642,0.536,0.536,0.349,0.232,0.196,0.121,0.102,-0.032,-0.032,0.06,0.05,0.036,-0.006,-0.006,0.014,0.012
0.816,0.816,0.891,0.872,0.738,0.638,0.638,0.483,0.483,0.226,0.226,0.145,0.106,-0.035,-0.026,0.059,0.054,0.037,-0.006,-0.006,0.018,0.011
0.807,0.807,0.819,0.677,0.677,0.62,0.62,0.546,0.327,0.203,0.203,0.121,0.099,-0.033,-0.033,0.059,0.045,0.032,-0.008,0.015,-0.002,0.004
0.873,0.873,0.745,0.72,0.72,0.558,0.558,0.557,0.318,0.228,0.199,0.119,0.098,-0.032,-0.032,-0.007,-0.007,0.06,0.047,0.035,0.014,0.014
0.791,0.791,0.81,0.81,0.664,0.627,0.627,0.507,0.355,0.236,0.214,0.118,0.103,-0.032,-0.032,0.06,0.048,-0.007,-0.007,0.033,0.015,0.013
0.862,0.862,0.809,0.658,0.658,0.571,0.571,0.545,0.305,0.223,0.19,0.121,0.096,-0.032,-0.032,0.06,0.047,0.034,-0.006,-0.006,0.013,0.013
0.831,0.831,0.795,0.795,0.677,0.677,0.584,0.584,0.348,0.213,0.213,0.121,0.102,-0.032,-0.032,0.06,0.048,0.035,-0.006,-0.006,0.017,0.008
0.788,0.788,0.794,0.794,0.662,0.662,0.622,0.554,0.355,0.215,0.215,0.117,0.105,-0.032,-0.032,0.059,0.047,0.033,-0.006,-0.006,0.016,0.008
0.839,0.839,0.728,0.728,0.66,0.607,0.607,0.488,0.359,0.243,0.204,0.108,0.108,-0.032,-0.032,0.06,-0.007,-0.007,0.048,0.032,0.014,0.014
