0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.001,0.001,-0.312,-0.312,-0.119,-0.205,-0.205,-0.108,-0.067,-0.024,0.1,-0.066,0.354,-0.149,-0.149,-0.107,-0.107,0.055,0.035,0.199,0.147,0.147
0.286,0.286,-0.076,-0.076,-0.277,-0.158,-0.158,0.098,0.2,0.024,0.139,0.319,-0.281,-0.288,-0.288,-0.305,-0.305,0.228,-0.135,-0.255,0.182,0.182
0.048,0.048,-0.007,-0.007,0.0,0.126,0.126,-0.23,-0.009,0.169,0.22,0.321,-0.425,0.167,0.167,-0.206,-0.206,-0.353,0.289,-0.108,-0.104,-0.104
0.037,0.037,0.028,0.028,-0.282,-0.325,-0.325,0.248,-0.123,-0.262,-0.051,0.002,-0.112,-0.018,-0.018,0.15,0.15,0.213,0.014,0.13,-0.178,-0.178
0.042,0.042,-0.231,-0.231,-0.214,0.219,0.219,-0.199,-0.087,-0.09,-0.048,0.109,-0.184,0.142,0.142,0.098,0.098,0.049,-0.047,0.32,0.218,0.218
0.03,0.03,-0.117,-0.117,-0.157,0.015,0.015,-0.057,-0.027,-0.142,0.037,0.197,0.235,-0.026,-0.026,0.283,0.283,-0.193,0.056,-0.165,-0.212,-0.212
-0.081,-0.081,0.155,0.155,0.351,0.021,0.021,-0.167,-0.281,0.266,-0.156,0.154,-0.315,-0.079,-0.079,0.241,0.241,0.121,0.082,-0.046,-0.177,-0.177
-0.127,-0.127,0.141,0.141,0.107,-0.059,-0.059,0.143,0.05,-0.11,-0.247,0.247,0.205,-0.151,-0.151,0.089,0.089,-0.326,0.185,0.131,0.234,0.234
0.159,0.159,-0.14,-0.14,-0.507,-0.267,-0.267,0.451,-0.203,-0.05,-0.365,0.175,-0.064,-0.135,-0.135,0.034,0.034,-0.017,-0.062,0.293,-0.016,-0.016
-0.097,-0.097,0.026,0.026,0.167,0.351,0.351,-0.365,0.177,0.262,-0.064,-0.097,0.008,-0.382,-0.382,0.003,0.003,-0.058,0.353,0.063,-0.285,-0.285
0.2,0.2,0.292,0.292,-0.074,0.131,0.131,-0.286,-0.501,0.533,-0.497,-0.044,0.148,-0.041,-0.041,-0.191,-0.191,-0.165,-0.135,-0.424,-0.062,-0.062
-0.112,-0.112,-0.042,-0.042,-0.0,-0.053,-0.053,0.248,-0.128,-0.05,-0.054,-0.165,0.022,-0.026,-0.026,0.032,0.032,0.084,0.353,0.098,-0.134,-0.134
-0.213,-0.213,0.122,0.122,0.245,0.202,0.202,-0.127,-0.059,0.007,-0.29,0.331,0.063,0.35,0.35,0.152,0.152,0.576,-0.51,0.222,0.181,0.181
-0.253,-0.253,0.171,0.171,-0.04,-0.115,-0.115,0.178,-0.203,0.281,0.21,-0.092,0.151,0.006,0.006,-0.074,-0.074,-0.112,0.08,-0.052,0.264,0.264
-0.02,-0.02,-0.3,-0.3,-0.083,-0.176,-0.176,0.143,-0.056,0.252,0.103,-0.148,0.368,-0.183,-0.183,-0.129,-0.129,-0.033,-0.214,-0.156,-0.249,-0.249
0.078,0.078,0.115,0.115,-0.021,-0.186,-0.186,0.302,0.082,-0.396,-0.139,0.162,-0.034,0.165,0.165,-0.061,-0.061,-0.075,0.105,-0.25,-0.376,-0.376
0.087,0.087,0.024,0.024,0.071,-0.034,-0.034,0.11,-0.48,-0.043,-0.357,0.325,-0.025,-0.195,-0.195,-0.476,-0.476,-0.042,0.057,0.082,0.122,0.122
-0.028,-0.028,0.051,0.051,0.069,-0.239,-0.239,0.067,0.077,0.305,0.114,-0.033,0.145,0.407,0.407,0.215,0.215,-0.087,0.289,0.269,-0.002,-0.002
0.393,0.393,-0.062,-0.062,-0.233,-0.047,-0.047,0.102,-0.242,0.111,0.007,-0.103,0.234,0.372,0.372,0.465,0.465,0.046,0.15,0.187,0.125,0.125
0.015,0.015,0.123,0.123,0.179,-0.203,-0.203,0.25,-0.244,-0.088,0.131,0.387,-0.105,-0.204,-0.204,0.026,0.026,0.213,-0.31,0.016,-0.098,-0.098
0.163,0.163,0.456,0.456,0.317,0.119,0.119,-0.19,0.282,-0.069,0.355,-0.188,0.305,-0.188,-0.188,-0.035,-0.035,0.061,-0.02,0.431,0.032,0.032
-0.03,-0.03,0.039,0.039,0.26,-0.146,-0.146,0.088,0.149,-0.114,-0.036,-0.342,-0.046,0.103,0.103,0.095,0.095,-0.407,0.224,0.011,0.318,0.318
