0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.291,-0.291,0.0,0.149,-0.149,0.0,0.025,-0.025,0.0,0.0,0.0,0.005,-0.005,0.0,0.0,0.0,0.012,-0.012,0.016,-0.016,0.006,-0.006,0.008,-0.008,0.0
0.302,-0.302,0.047,-0.047,0.145,-0.145,0.0,0.0,0.018,-0.018,0.012,-0.012,0.0,0.0,0.0,0.0,0.011,-0.011,0.014,-0.014,0.008,-0.008,0.0,0.0,0.0
0.293,-0.293,0.0,0.136,-0.136,0.045,-0.045,0.0,0.017,-0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.013,-0.013,0.007,-0.007,0.006,-0.006,0.017,-0.017,0.0
0.277,-0.277,0.0,0.103,-0.103,0.0,0.061,-0.061,0.0,0.02,-0.02,0.0,0.0,0.001,-0.001,0.0,0.008,-0.008,0.0,0.0,0.016,-0.016,0.0,0.013,-0.013
0.293,-0.293,0.0,0.097,-0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,-0.009,0.017,-0.017,0.009,-0.009,0.0,0.0,0.0
0.314,-0.314,0.0,0.148,-0.148,0.033,-0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.0,0.016,-0.016,0.01,-0.01,0.0,0.0,0.0
0.308,-0.308,0.0,0.139,-0.139,0.054,-0.054,0.0,0.008,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.016,-0.016,0.008,-0.008,0.006,-0.006,0.0
0.186,-0.186,0.273,-0.273,0.0,0.087,-0.087,0.0,0.0,0.0,0.0,0.014,-0.014,0.0,0.0,0.009,-0.009,0.007,-0.007,0.0,0.02,-0.02,0.013,-0.013,0.0
0.285,-0.285,0.159,-0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.016,-0.016,0.008,-0.008,0.004,-0.004,0.0
0.282,-0.282,0.0,0.147,-0.147,0.0,0.032,-0.032,0.0,0.0,0.0,0.007,-0.007,0.0,0.0,0.012,-0.012,0.0,0.016,-0.016,0.005,-0.005,0.008,-0.008,0.0
