0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.172,0.172,0.029,-0.062,-0.062,-0.04,-0.035,-0.035,0.447,0.43,-0.375,0.01,0.01,0.005,-0.175,-0.029,-0.029,0.143,-0.245,-0.245,0.041,0.041,0.084,0.084,0.247
0.247,0.247,-0.002,0.472,0.472,-0.197,-0.119,-0.119,-0.26,-0.362,0.08,0.014,0.014,-0.184,-0.043,-0.134,-0.134,0.145,-0.101,-0.101,0.007,0.007,-0.18,-0.18,-0.005
0.062,0.062,-0.266,-0.012,-0.012,-0.039,-0.101,-0.101,-0.288,-0.238,-0.002,-0.244,-0.244,-0.293,0.061,-0.067,-0.067,0.016,0.088,0.088,0.342,0.342,0.315,0.315,0.229
0.127,0.127,0.036,-0.082,-0.082,-0.3,-0.115,-0.115,-0.121,-0.167,0.324,-0.056,-0.056,-0.134,-0.452,-0.237,-0.237,0.287,0.03,0.03,0.108,0.108,0.047,0.047,0.495
0.16,0.16,-0.15,-0.174,-0.174,-0.145,-0.17,-0.17,0.101,0.123,-0.102,-0.181,-0.181,-0.154,0.36,-0.013,-0.013,0.026,-0.142,-0.142,-0.434,-0.434,-0.525,-0.525,-0.254
-0.179,-0.179,0.043,0.152,0.152,0.516,0.573,0.573,-0.26,-0.28,0.27,-0.229,-0.229,0.11,0.262,-0.052,-0.052,-0.041,-0.285,-0.285,-0.212,-0.212,-0.115,-0.115,0.088
-0.005,-0.005,-0.061,0.07,0.07,-0.094,-0.008,-0.008,-0.027,-0.087,-0.171,0.008,0.008,0.205,0.002,-0.241,-0.241,0.166,0.316,0.316,0.066,0.066,-0.224,-0.224,-0.273
0.037,0.037,-0.004,0.22,0.22,0.031,0.1,0.1,-0.042,0.107,-0.155,-0.107,-0.107,0.07,0.199,0.186,0.186,-0.091,-0.073,-0.073,0.017,0.017,-0.06,-0.06,0.179
0.064,0.064,-0.047,-0.083,-0.083,0.059,-0.222,-0.222,0.069,-0.034,-0.008,0.143,0.143,0.145,0.273,-0.118,-0.118,0.371,0.108,0.108,-0.023,-0.023,0.075,0.075,0.099
-0.072,-0.072,0.038,0.082,0.082,-0.071,-0.121,-0.121,0.202,0.113,-0.371,-0.032,-0.032,0.173,-0.135,-0.225,-0.225,0.046,0.094,0.094,-0.069,-0.069,0.168,0.168,0.081
-0.043,-0.043,0.245,-0.089,-0.089,0.376,0.35,0.35,-0.057,0.241,-0.053,0.157,0.157,-0.284,-0.183,-0.257,-0.257,0.334,0.352,0.352,0.014,0.014,-0.031,-0.031,-0.085
0.028,0.028,0.006,-0.02,-0.02,-0.361,-0.125,-0.125,0.049,-0.012,0.289,-0.13,-0.13,-0.164,0.186,-0.13,-0.13,-0.08,-0.074,-0.074,-0.293,-0.293,-0.019,-0.019,-0.18
0.077,0.077,0.072,0.142,0.142,0.139,0.234,0.234,-0.162,-0.189,0.072,0.099,0.099,-0.011,0.011,0.405,0.405,-0.244,-0.12,-0.12,0.155,0.155,0.122,0.122,0.116
0.029,0.029,-0.109,0.036,0.036,-0.301,-0.288,-0.288,0.409,0.512,-0.351,0.016,0.016,0.003,0.292,-0.025,-0.025,0.11,-0.092,-0.092,0.19,0.19,0.186,0.186,0.035
0.145,0.145,0.088,0.168,0.168,-0.199,-0.228,-0.228,0.085,-0.05,0.095,-0.132,-0.132,0.266,-0.058,0.291,0.291,-0.187,0.089,0.089,-0.182,-0.182,0.054,0.054,0.267
-0.183,-0.183,0.189,0.114,0.114,-0.15,0.091,0.091,0.222,0.156,-0.047,0.405,0.405,-0.078,0.16,-0.024,-0.024,0.096,0.14,0.14,0.044,0.044,0.009,0.009,0.125
