0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.264,-0.264,0.071,-0.071,0.147,-0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.008,-0.008,0.024,-0.024,0.0,0.005,-0.005,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0
0.268,-0.268,0.057,-0.057,0.144,-0.144,0.063,-0.063,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.273,-0.273,0.041,-0.041,0.146,-0.146,0.068,-0.068,0.0,0.0,0.0,0.0,0.0,0.033,-0.033,0.0,0.0,0.011,-0.011,0.008,-0.008,0.024,-0.024,0.0,0.005,-0.005,0.024,-0.024,0.001,-0.001,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.265,-0.265,0.059,-0.059,0.146,-0.146,0.059,-0.059,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.264,-0.264,0.07,-0.07,0.143,-0.143,0.055,-0.055,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.003,-0.003,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.254,-0.254,0.081,-0.081,0.134,-0.134,0.012,-0.012,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.007,-0.007,0.006,-0.006,0.024,-0.024,0.003,-0.003,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.264,-0.264,0.066,-0.066,0.146,-0.146,0.056,-0.056,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.265,-0.265,0.069,-0.069,0.145,-0.145,0.058,-0.058,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.263,-0.263,0.076,-0.076,0.146,-0.146,0.053,-0.053,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.008,-0.008,0.024,-0.024,0.0,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.266,-0.266,0.069,-0.069,0.147,-0.147,0.057,-0.057,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.261,-0.261,0.072,-0.072,0.14,-0.14,0.053,-0.053,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.003,-0.003,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.267,-0.267,0.063,-0.063,0.144,-0.144,0.062,-0.062,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.27,-0.27,0.051,-0.051,0.146,-0.146,0.065,-0.065,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.008,-0.008,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.275,-0.275,0.029,-0.029,0.145,-0.145,0.071,-0.071,0.0,0.0,0.0,0.0,0.0,0.033,-0.033,0.0,0.0,0.011,-0.011,0.008,-0.008,0.005,-0.005,0.024,-0.024,0.001,-0.001,0.024,-0.024,0.0,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.266,-0.266,0.056,-0.056,0.147,-0.147,0.061,-0.061,0.0,0.0,0.0,0.0,0.0,0.033,-0.033,0.0,0.0,0.011,-0.011,0.008,-0.008,0.024,-0.024,0.0,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.275,-0.275,0.036,-0.036,0.147,-0.147,0.068,-0.068,0.0,0.0,0.0,0.0,0.0,0.033,-0.033,0.0,0.0,0.011,-0.011,0.0,0.024,-0.024,0.009,-0.009,0.005,-0.005,0.024,-0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.275,-0.275,0.035,-0.035,0.146,-0.146,0.071,-0.071,0.0,0.0,0.0,0.0,0.0,0.033,-0.033,0.0,0.0,0.011,-0.011,0.008,-0.008,0.024,-0.024,0.0,0.005,-0.005,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
0.27,-0.27,0.047,-0.047,0.145,-0.145,0.067,-0.067,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.011,-0.011,0.008,-0.008,0.024,-0.024,0.0,0.006,-0.006,0.024,-0.024,0.002,-0.002,0.0,0.0,0.0,0.0,0.011,-0.011,0.0,0.0
