0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.027,0.027,-0.009,0.009,0.144,-0.144,-0.021,0.021,0.0,0.0,0.0,0.0,0.0,-0.144,0.144,0.0,0.0,0.032,-0.032,0.0,-0.081,0.081,-0.117,0.117,0.114,-0.114,0.014,-0.014,-0.021,0.021,0.0,0.0,0.0,0.0,0.136,-0.136,0.0,0.0
0.05,-0.05,-0.013,0.013,-0.05,0.05,-0.124,0.124,0.0,0.0,0.0,0.0,0.0,-0.077,0.077,0.0,0.0,-0.081,0.081,0.0,0.02,-0.02,0.185,-0.185,0.0,-0.0,-0.109,0.109,0.0,-0.0,0.0,0.0,0.0,0.0,-0.053,0.053,0.0,0.0
-0.019,0.019,-0.057,0.057,0.128,-0.128,0.011,-0.011,0.0,0.0,0.0,0.0,0.0,0.055,-0.055,0.0,0.0,0.061,-0.061,0.0,0.002,-0.002,-0.042,0.042,-0.031,0.031,0.002,-0.002,-0.018,0.018,0.0,0.0,0.0,0.0,0.048,-0.048,0.0,0.0
0.183,-0.183,-0.062,0.062,0.022,-0.022,0.012,-0.012,0.0,0.0,0.0,0.0,0.0,-0.018,0.018,0.0,0.0,-0.046,0.046,0.0,0.216,-0.216,-0.064,0.064,-0.01,0.01,-0.214,0.214,-0.046,0.046,0.0,0.0,0.0,0.0,-0.04,0.04,0.0,0.0
-0.026,0.026,0.045,-0.045,-0.141,0.141,-0.122,0.122,0.0,0.0,0.0,0.0,0.0,0.015,-0.015,0.0,0.0,0.086,-0.086,0.0,0.162,-0.162,-0.086,0.086,-0.054,0.054,0.13,-0.13,-0.022,0.022,0.0,0.0,0.0,0.0,0.009,-0.009,0.0,0.0
0.054,-0.054,-0.015,0.015,0.018,-0.018,-0.003,0.003,0.0,0.0,0.0,0.0,0.0,-0.116,0.116,0.0,0.0,0.08,-0.08,0.0,-0.19,0.19,0.176,-0.176,-0.131,0.131,0.129,-0.129,0.045,-0.045,0.0,0.0,0.0,0.0,-0.037,0.037,0.0,0.0
-0.238,0.238,-0.088,0.088,0.234,-0.234,0.121,-0.121,0.0,0.0,0.0,0.0,0.0,-0.086,0.086,0.0,0.0,0.026,-0.026,0.0,0.141,-0.141,0.085,-0.085,-0.056,0.056,0.079,-0.079,0.031,-0.031,0.0,0.0,0.0,0.0,-0.002,0.002,0.0,0.0
-0.072,0.072,-0.015,0.015,0.047,-0.047,-0.049,0.049,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.0,0.015,-0.015,0.0,-0.034,0.034,0.08,-0.08,-0.024,0.024,-0.095,0.095,-0.022,0.022,0.0,0.0,0.0,0.0,-0.058,0.058,0.0,0.0
-0.027,0.027,-0.144,0.144,0.144,-0.144,0.084,-0.084,0.0,0.0,0.0,0.0,0.0,-0.102,0.102,0.0,0.0,-0.087,0.087,0.0,-0.037,0.037,0.0,-0.0,-0.151,0.151,-0.018,0.018,0.041,-0.041,0.0,0.0,0.0,0.0,0.184,-0.184,0.0,0.0
0.149,-0.149,-0.032,0.032,-0.066,0.066,-0.109,0.109,0.0,0.0,0.0,0.0,0.0,-0.046,0.046,0.0,0.0,-0.047,0.047,0.0,0.056,-0.056,0.207,-0.207,-0.044,0.044,0.183,-0.183,0.024,-0.024,0.0,0.0,0.0,0.0,0.041,-0.041,0.0,0.0
