0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.865,0.865,0.803,0.803,0.767,0.767,0.709,0.63,0.501,0.37,0.299,0.236,0.192,0.183,0.183,0.123,0.114,0.085,0.085,-0.05,-0.05,0.048,0.048,0.061,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.004,0.002
0.898,0.898,0.798,0.798,0.741,0.741,0.643,0.643,0.495,0.354,0.299,0.239,0.19,0.183,0.183,0.122,0.11,0.084,0.084,0.061,0.048,0.048,-0.05,-0.05,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
0.887,0.887,0.799,0.799,0.747,0.747,0.647,0.647,0.493,0.359,0.294,0.24,0.19,0.183,0.183,0.122,0.11,0.084,0.084,-0.05,-0.05,0.048,0.048,0.061,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
0.892,0.892,0.804,0.804,0.742,0.742,0.645,0.645,0.495,0.355,0.299,0.239,0.19,0.183,0.183,0.122,0.11,0.084,0.084,0.061,0.048,0.048,-0.05,-0.05,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
0.896,0.896,0.795,0.795,0.738,0.738,0.641,0.641,0.495,0.352,0.302,0.239,0.189,0.183,0.183,0.122,0.109,0.084,0.084,0.061,0.048,0.048,-0.05,-0.05,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
0.868,0.868,0.798,0.798,0.708,0.708,0.628,0.628,0.494,0.334,0.31,0.24,0.188,0.182,0.182,0.122,0.108,0.084,0.084,0.061,0.048,0.048,-0.05,-0.05,-0.042,-0.042,-0.018,-0.018,-0.029,-0.029,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
0.892,0.892,0.803,0.803,0.743,0.743,0.644,0.644,0.495,0.355,0.3,0.238,0.19,0.183,0.183,0.122,0.11,0.084,0.084,0.061,0.048,0.048,-0.05,-0.05,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
0.892,0.892,0.801,0.801,0.742,0.742,0.643,0.643,0.496,0.356,0.299,0.239,0.19,0.183,0.183,0.122,0.11,0.084,0.084,0.061,0.048,0.048,-0.05,-0.05,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
0.889,0.889,0.802,0.802,0.744,0.744,0.643,0.643,0.497,0.357,0.3,0.238,0.19,0.183,0.183,0.122,0.11,0.084,0.084,-0.05,-0.05,0.048,0.048,0.061,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.004,0.002
0.893,0.893,0.796,0.796,0.746,0.746,0.643,0.643,0.496,0.356,0.3,0.239,0.19,0.183,0.183,0.122,0.11,0.084,0.084,0.061,0.048,0.048,-0.05,-0.05,-0.041,-0.041,-0.018,-0.018,-0.03,-0.03,0.048,0.039,0.027,-0.01,0.006,0.006,0.003,0.002
