0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.008,-0.008,-0.126,-0.126,0.092,0.092,-0.004,-0.004,-0.091,0.094,0.037,-0.16,-0.328,-0.124,-0.124,-0.235,0.03,0.01,0.01,0.057,0.038,0.038,-0.208,-0.208,-0.023,-0.023,0.021,0.021,0.107,0.107,-0.008,0.039,-0.29,0.231,0.021,0.021,0.195,0.328
0.187,0.187,-0.048,-0.048,0.07,0.07,-0.162,-0.162,0.237,-0.15,0.071,0.003,-0.07,-0.009,-0.009,-0.086,0.183,0.134,0.134,-0.302,0.045,0.045,-0.126,-0.126,0.345,0.345,0.177,0.177,0.363,0.363,-0.461,0.376,0.185,0.165,0.057,0.057,-0.082,0.296
0.062,0.062,-0.04,-0.04,0.148,0.148,0.06,0.06,-0.163,-0.178,0.279,-0.35,-0.076,-0.203,-0.203,0.09,-0.231,-0.059,-0.059,-0.197,-0.08,-0.08,0.054,0.054,-0.091,-0.091,-0.01,-0.01,-0.011,-0.011,-0.029,-0.028,-0.027,0.05,-0.06,-0.06,-0.173,0.101
-0.017,-0.017,0.092,0.092,-0.008,-0.008,0.033,0.033,-0.086,-0.135,0.205,-0.153,-0.226,-0.167,-0.167,-0.171,0.067,0.037,0.037,0.253,-0.18,-0.18,0.16,0.16,-0.166,-0.166,-0.168,-0.168,-0.213,-0.213,-0.021,0.199,-0.275,0.334,0.194,0.194,0.461,-0.024
0.012,0.012,0.054,0.054,-0.1,-0.1,-0.152,-0.152,0.211,-0.284,0.262,0.007,0.051,0.187,0.187,0.074,-0.192,-0.022,-0.022,0.267,0.05,0.05,0.169,0.169,-0.185,-0.185,-0.059,-0.059,-0.233,-0.233,-0.091,0.127,-0.14,0.257,0.248,0.248,0.235,0.038
0.078,0.078,-0.055,-0.055,0.178,0.178,-0.008,-0.008,0.294,-0.025,-0.069,-0.047,-0.298,-0.117,-0.117,-0.175,0.146,0.128,0.128,-0.242,0.01,0.01,0.176,0.176,0.169,0.169,0.155,0.155,0.149,0.149,0.16,-0.17,-0.059,-0.047,-0.138,-0.138,-0.012,-0.027
0.113,0.113,0.286,0.286,-0.078,-0.078,-0.073,-0.073,0.089,0.175,-0.113,0.123,0.006,-0.014,-0.014,-0.098,0.115,0.24,0.24,0.048,0.212,0.212,0.009,0.009,0.092,0.092,0.026,0.026,-0.043,-0.043,-0.124,0.192,0.036,-0.177,-0.006,-0.006,-0.131,0.056
-0.108,-0.108,-0.048,-0.048,0.046,0.046,0.16,0.16,-0.187,0.147,-0.139,0.255,-0.165,-0.111,-0.111,0.125,-0.017,0.158,0.158,-0.064,0.062,0.062,0.007,0.007,0.057,0.057,0.182,0.182,0.121,0.121,0.015,-0.225,0.184,0.026,-0.1,-0.1,0.049,-0.285
0.063,0.063,-0.071,-0.071,0.176,0.176,0.107,0.107,-0.206,0.243,-0.194,0.06,0.139,0.125,0.125,-0.025,0.2,-0.226,-0.226,0.031,-0.194,-0.194,0.307,0.307,-0.194,-0.194,-0.257,-0.257,-0.335,-0.335,0.216,-0.105,-0.449,-0.041,0.048,0.048,0.122,0.102
-0.097,-0.097,0.04,0.04,0.013,0.013,0.155,0.155,0.031,0.006,0.009,-0.158,-0.051,-0.06,-0.06,-0.079,-0.025,-0.077,-0.077,0.111,-0.125,-0.125,0.029,0.029,0.089,0.089,-0.188,-0.188,0.038,0.038,0.025,0.02,-0.119,0.029,0.025,0.025,0.053,0.076
