0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.221,0.221,0.0,-0.047,0.047,0.0,0.0,0.0,-0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,-0.181,0.181,0.13,-0.13,0.009,-0.009,0.0,0.0,0.0
-0.239,0.239,0.0,0.198,-0.198,0.0,0.0,0.0,-0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.0,-0.056,0.056,0.114,-0.114,-0.119,0.119,0.0,0.0,0.0
-0.144,0.144,0.0,0.0,-0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.0,0.0,0.0,0.0,0.0,-0.039,0.039,-0.044,0.044,-0.142,0.142,0.0,0.0,0.0
0.169,-0.169,0.0,0.128,-0.128,0.0,0.0,0.0,0.119,-0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.066,-0.066,0.004,-0.004,0.0,0.0,0.0
-0.091,0.091,0.0,-0.043,0.043,0.0,0.0,0.0,0.035,-0.035,0.0,0.0,0.0,0.0,0.0,0.0,-0.143,0.143,0.064,-0.064,0.063,-0.063,0.0,0.0,0.0
0.327,-0.327,0.0,0.096,-0.096,0.0,0.0,0.0,-0.175,0.175,0.0,0.0,0.0,0.0,0.0,0.0,-0.153,0.153,0.088,-0.088,0.127,-0.127,0.0,0.0,0.0
-0.034,0.034,0.0,0.105,-0.105,0.0,0.0,0.0,-0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.137,-0.137,-0.019,0.019,-0.028,0.028,0.0,0.0,0.0
0.116,-0.116,0.0,-0.065,0.065,0.0,0.0,0.0,0.018,-0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.062,-0.062,-0.105,0.105,0.066,-0.066,0.0,0.0,0.0
-0.078,0.078,0.0,-0.108,0.108,0.0,0.0,0.0,-0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.016,0.016,0.063,-0.063,0.213,-0.213,0.0,0.0,0.0
0.003,-0.003,0.0,0.117,-0.117,0.0,0.0,0.0,0.069,-0.069,0.0,0.0,0.0,0.0,0.0,0.0,-0.106,0.106,-0.055,0.055,0.0,-0.0,0.0,0.0,0.0
-0.173,0.173,0.0,-0.153,0.153,0.0,0.0,0.0,-0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.168,-0.168,0.003,-0.003,0.193,-0.193,0.0,0.0,0.0
0.124,-0.124,0.0,0.006,-0.006,0.0,0.0,0.0,-0.079,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.138,-0.138,0.017,-0.017,-0.154,0.154,0.0,0.0,0.0
0.078,-0.078,0.0,-0.02,0.02,0.0,0.0,0.0,0.167,-0.167,0.0,0.0,0.0,0.0,0.0,0.0,-0.089,0.089,-0.006,0.006,-0.116,0.116,0.0,0.0,0.0
0.026,-0.026,0.0,0.076,-0.076,0.0,0.0,0.0,0.088,-0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.02,0.03,-0.03,0.048,-0.048,0.0,0.0,0.0
-0.297,0.297,0.0,-0.057,0.057,0.0,0.0,0.0,0.176,-0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.124,-0.124,-0.03,0.03,0.034,-0.034,0.0,0.0,0.0
-0.049,0.049,0.0,-0.062,0.062,0.0,0.0,0.0,-0.128,0.128,0.0,0.0,0.0,0.0,0.0,0.0,-0.226,0.226,-0.107,0.107,0.128,-0.128,0.0,0.0,0.0
-0.133,0.133,0.0,0.014,-0.014,0.0,0.0,0.0,-0.054,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,-0.178,0.178,-0.102,0.102,0.0,0.0,0.0
0.031,-0.031,0.0,-0.033,0.033,0.0,0.0,0.0,-0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,0.011,-0.076,0.076,0.14,-0.14,0.0,0.0,0.0
0.034,-0.034,0.0,0.092,-0.092,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.122,0.122,-0.067,0.067,0.051,-0.051,0.0,0.0,0.0
0.109,-0.109,0.0,0.022,-0.022,0.0,0.0,0.0,0.017,-0.017,0.0,0.0,0.0,0.0,0.0,0.0,-0.044,0.044,-0.026,0.026,0.076,-0.076,0.0,0.0,0.0
0.029,-0.029,0.0,0.056,-0.056,0.0,0.0,0.0,-0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.132,-0.132,0.0,-0.0,0.229,-0.229,0.0,0.0,0.0
0.142,-0.142,0.0,-0.047,0.047,0.0,0.0,0.0,-0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.08,0.056,-0.056,-0.106,0.106,0.0,0.0,0.0
0.15,-0.15,0.0,0.087,-0.087,0.0,0.0,0.0,-0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.083,-0.083,-0.018,0.018,-0.064,0.064,0.0,0.0,0.0
0.082,-0.082,0.0,-0.002,0.002,0.0,0.0,0.0,0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.081,-0.081,0.096,-0.096,0.098,-0.098,0.0,0.0,0.0
0.0,-0.0,0.0,0.263,-0.263,0.0,0.0,0.0,0.062,-0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.004,-0.004,-0.09,0.09,0.116,-0.116,0.0,0.0,0.0
