0,1,2,3,4,5,6,7,8,9,10,11
0.014,-0.014,-0.164,0.164,0.139,-0.139,-0.033,0.033,-0.403,0.403,0.0,0.0
0.11,-0.11,0.049,-0.049,-0.028,0.028,-0.019,0.019,0.008,-0.008,0.0,0.0
0.018,-0.018,-0.058,0.058,0.088,-0.088,-0.024,0.024,-0.082,0.082,0.0,0.0
-0.052,0.052,0.336,-0.336,0.01,-0.01,-0.049,0.049,-0.184,0.184,0.0,0.0
-0.208,0.208,0.23,-0.23,-0.174,0.174,0.063,-0.063,-0.291,0.291,0.0,0.0
-0.124,0.124,0.0,-0.0,0.316,-0.316,0.089,-0.089,-0.077,0.077,0.0,0.0
0.0,-0.0,0.183,-0.183,0.0,-0.0,-0.057,0.057,-0.103,0.103,0.0,0.0
-0.236,0.236,-0.272,0.272,0.32,-0.32,-0.116,0.116,-0.041,0.041,0.0,0.0
0.064,-0.064,-0.12,0.12,0.176,-0.176,0.135,-0.135,-0.016,0.016,0.0,0.0
-0.106,0.106,-0.176,0.176,-0.267,0.267,0.118,-0.118,0.147,-0.147,0.0,0.0
-0.239,0.239,0.235,-0.235,-0.188,0.188,0.0,-0.0,0.0,-0.0,0.0,0.0
0.021,-0.021,0.097,-0.097,0.05,-0.05,0.052,-0.052,0.101,-0.101,0.0,0.0
