0,1,2,3,4,5,6,7,8,9,10,11
-0.287,0.124,0.124,0.126,0.126,-0.416,-0.133,-0.133,-0.231,-0.231,-0.299,-0.299
0.173,-0.209,-0.209,0.334,0.334,0.089,-0.26,-0.26,-0.427,-0.427,0.35,0.35
0.467,-0.543,-0.543,0.217,0.217,0.126,-0.282,-0.282,-0.093,-0.093,0.138,0.138
-0.235,0.01,0.01,-0.273,-0.273,-0.062,0.018,0.018,0.01,0.01,-0.099,-0.099
-0.123,0.029,0.029,-0.106,-0.106,-0.305,0.129,0.129,-0.235,-0.235,-0.088,-0.088
-0.506,0.083,0.083,-0.316,-0.316,-0.056,0.472,0.472,0.633,0.633,-0.511,-0.511
0.183,0.187,0.187,-0.148,-0.148,-0.614,-0.376,-0.376,-0.136,-0.136,-0.111,-0.111
0.344,-0.414,-0.414,-0.149,-0.149,-0.397,-0.417,-0.417,0.218,0.218,-0.045,-0.045
-0.063,0.029,0.029,0.237,0.237,-0.131,-0.316,-0.316,0.128,0.128,0.091,0.091
0.328,-0.094,-0.094,0.428,0.428,-0.182,-0.153,-0.153,-0.011,-0.011,-0.253,-0.253
0.073,-0.18,-0.18,-0.017,-0.017,-0.149,0.029,0.029,0.091,0.091,0.077,0.077
-0.272,-0.013,-0.013,-0.042,-0.042,-0.31,-0.058,-0.058,-0.034,-0.034,-0.278,-0.278
