0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.049,-0.108,0.149,0.149,-0.288,-0.288,0.008,0.008,0.172,0.268,0.137,0.103,0.103,-0.233
0.38,-0.329,-0.207,-0.207,0.128,0.128,0.04,0.04,-0.081,-0.222,-0.166,-0.178,-0.178,-0.239
0.131,0.124,0.22,0.22,0.022,0.022,0.357,0.357,-0.514,0.022,-0.048,0.071,0.071,-0.415
0.082,-0.009,-0.087,-0.087,-0.048,-0.048,-0.293,-0.293,0.044,-0.027,0.04,-0.302,-0.302,-0.165
-0.23,-0.049,0.005,0.005,0.043,0.043,-0.438,-0.438,0.306,-0.063,-0.114,0.274,0.274,-0.284
0.077,-0.13,-0.314,-0.314,-0.11,-0.11,-0.174,-0.174,0.234,0.308,0.329,-0.08,-0.08,0.299
-0.552,0.672,-0.192,-0.192,0.063,0.063,0.135,0.135,0.003,-0.074,-0.104,-0.345,-0.345,-0.34
0.073,-0.32,-0.166,-0.166,-0.542,-0.542,0.266,0.266,-0.098,0.094,0.251,-0.064,-0.064,0.189
0.424,-0.313,-0.256,-0.256,-0.09,-0.09,-0.189,-0.189,0.279,0.207,0.334,-0.003,-0.003,-0.221
-0.115,-0.087,0.062,0.062,0.257,0.257,-0.342,-0.342,0.307,0.224,0.189,-0.276,-0.276,0.176
-0.04,0.136,0.231,0.231,-0.102,-0.102,-0.334,-0.334,0.371,-0.27,-0.291,0.291,0.291,0.284
0.004,0.363,-0.026,-0.026,0.151,0.151,-0.248,-0.248,0.023,0.431,0.304,0.153,0.153,0.417
-0.438,0.133,-0.514,-0.514,0.044,0.044,0.162,0.162,-0.369,0.61,0.653,-0.17,-0.17,0.042
0.272,-0.132,0.224,0.224,0.079,0.079,0.229,0.229,-0.306,0.203,0.069,0.526,0.526,0.177
