0,1,2,3,4,5,6,7
0.342,-0.342,0.132,-0.132,0.0,0.0,0.0,0.0
0.0,0.0,0.321,-0.321,0.0,0.0,0.021,-0.021
0.0,0.151,-0.151,0.067,-0.067,0.0,0.0,0.0
0.0,0.0,0.226,-0.226,0.157,-0.157,0.0,0.0
0.0,0.472,-0.472,0.291,-0.291,0.0,0.0,0.0
0.0,0.0,0.381,-0.381,0.199,-0.199,0.037,-0.037
0.0,0.165,-0.165,0.214,-0.214,0.023,-0.023,0.0
0.263,-0.263,0.0,0.0,0.1,-0.1,0.049,-0.049
0.246,-0.246,0.0,0.0,0.19,-0.19,0.0,0.0
0.0,0.0,0.274,-0.274,0.16,-0.16,0.116,-0.116
0.0,0.25,-0.25,0.164,-0.164,0.165,-0.165,0.0
0.086,-0.086,0.217,-0.217,0.12,-0.12,0.0,0.0
0.199,-0.199,0.166,-0.166,0.263,-0.263,0.0,0.0
0.0,0.333,-0.333,0.0,0.108,-0.108,0.06,-0.06
0.367,-0.367,0.077,-0.077,0.222,-0.222,0.0,0.0
0.0,0.262,-0.262,0.0,0.0,0.0,0.037,-0.037
