0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,0.0,0.0,0.0,0.124,-0.124,0.0,0.277,-0.277,0.19,-0.19,0.068,-0.068,0.0,0.036,-0.036,0.0,0.0
0.422,-0.422,0.0,0.0,0.0,0.0,0.0,0.273,-0.273,0.197,-0.197,0.0,0.052,-0.052,0.0,0.041,-0.041,0.0
0.0,0.0,0.0,0.0,0.329,-0.329,0.241,-0.241,0.013,-0.013,0.025,-0.025,0.0,0.0,0.009,-0.009,0.025,-0.025
0.0,0.004,-0.004,0.0,0.322,-0.322,0.0,0.231,-0.231,0.118,-0.118,0.023,-0.023,0.0,0.054,-0.054,0.0,0.0
0.0,0.003,-0.003,0.0,0.0,0.31,-0.31,0.252,-0.252,0.147,-0.147,0.014,-0.014,0.0,0.0,0.032,-0.032,0.0
0.0,0.003,-0.003,0.31,-0.31,0.0,0.0,0.125,-0.125,0.148,-0.148,0.107,-0.107,0.0,0.061,-0.061,0.027,-0.027
0.0,0.001,-0.001,0.0,0.295,-0.295,0.0,0.152,-0.152,0.181,-0.181,0.0,0.077,-0.077,0.071,-0.071,0.0,0.0
0.577,-0.577,0.0,0.0,0.0,0.0,0.0,0.068,-0.068,0.216,-0.216,0.252,-0.252,0.0,0.0,0.0,0.078,-0.078
0.0,0.004,-0.004,0.0,0.322,-0.322,0.0,0.227,-0.227,0.132,-0.132,0.024,-0.024,0.0,0.056,-0.056,0.0,0.0
0.487,-0.487,0.0,0.0,0.0,0.301,-0.301,0.0,0.179,-0.179,0.141,-0.141,0.04,-0.04,0.0,0.027,-0.027,0.0
