0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,-0.009,0.009,0.0,0.069,-0.069,0.0,0.018,-0.018,-0.108,0.108,0.0,0.0,-0.0,0.127,-0.127,0.0,0.0
0.0,0.021,-0.021,0.0,-0.028,0.028,0.0,0.061,-0.061,0.07,-0.07,0.0,-0.142,0.142,0.12,-0.12,0.0,0.0
0.0,0.0,-0.0,0.0,-0.053,0.053,0.0,0.002,-0.002,0.217,-0.217,0.0,-0.009,0.009,0.086,-0.086,0.0,0.0
0.0,-0.012,0.012,0.0,-0.172,0.172,0.0,-0.162,0.162,-0.051,0.051,0.0,0.369,-0.369,0.016,-0.016,0.0,0.0
0.0,-0.009,0.009,0.0,0.28,-0.28,0.0,-0.025,0.025,-0.105,0.105,0.0,-0.111,0.111,0.241,-0.241,0.0,0.0
0.0,0.026,-0.026,0.0,0.033,-0.033,0.0,-0.14,0.14,0.346,-0.346,0.0,-0.171,0.171,0.121,-0.121,0.0,0.0
0.0,-0.014,0.014,0.0,-0.119,0.119,0.0,-0.059,0.059,0.088,-0.088,0.0,-0.178,0.178,0.346,-0.346,0.0,0.0
0.0,-0.006,0.006,0.0,-0.019,0.019,0.0,0.169,-0.169,0.029,-0.029,0.0,-0.025,0.025,0.0,-0.0,0.0,0.0
0.0,-0.002,0.002,0.0,-0.047,0.047,0.0,-0.134,0.134,0.123,-0.123,0.0,-0.225,0.225,-0.034,0.034,0.0,0.0
0.0,-0.021,0.021,0.0,0.053,-0.053,0.0,-0.117,0.117,0.167,-0.167,0.0,-0.207,0.207,-0.137,0.137,0.0,0.0
0.0,0.01,-0.01,0.0,0.223,-0.223,0.0,-0.324,0.324,0.22,-0.22,0.0,0.263,-0.263,0.14,-0.14,0.0,0.0
0.0,-0.009,0.009,0.0,0.0,-0.0,0.0,-0.131,0.131,-0.236,0.236,0.0,-0.191,0.191,0.271,-0.271,0.0,0.0
0.0,0.018,-0.018,0.0,-0.179,0.179,0.0,0.062,-0.062,-0.253,0.253,0.0,0.117,-0.117,0.183,-0.183,0.0,0.0
0.0,-0.013,0.013,0.0,-0.174,0.174,0.0,-0.172,0.172,0.176,-0.176,0.0,0.169,-0.169,0.067,-0.067,0.0,0.0
0.0,0.018,-0.018,0.0,0.291,-0.291,0.0,0.136,-0.136,0.0,-0.0,0.0,0.027,-0.027,-0.266,0.266,0.0,0.0
0.0,-0.0,0.0,0.0,0.105,-0.105,0.0,0.0,-0.0,0.361,-0.361,0.0,0.04,-0.04,0.059,-0.059,0.0,0.0
0.0,0.006,-0.006,0.0,-0.293,0.293,0.0,-0.192,0.192,0.074,-0.074,0.0,-0.314,0.314,-0.045,0.045,0.0,0.0
0.0,0.012,-0.012,0.0,0.061,-0.061,0.0,-0.032,0.032,0.081,-0.081,0.0,-0.112,0.112,-0.033,0.033,0.0,0.0
