0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.004,0.048,0.058,0.215,0.356,0.356,0.373,0.649,0.649,0.616,0.616,0.696,0.696,0.671,0.871,0.871,0.763,0.821
0.61,0.61,0.009,0.058,0.08,0.201,0.294,0.488,0.488,0.65,0.65,0.872,0.627,0.627,0.669,0.781,0.781,0.793
0.007,0.051,0.058,0.191,0.618,0.618,0.509,0.509,0.898,0.898,0.807,0.807,0.348,0.681,0.655,0.655,0.47,0.47
0.007,0.056,0.056,0.197,0.653,0.653,0.337,0.511,0.511,0.507,0.507,0.645,0.645,0.896,0.842,0.842,0.838,0.752
0.007,0.058,0.058,0.203,0.348,0.623,0.623,0.542,0.542,0.505,0.505,0.661,0.661,0.874,0.84,0.797,0.797,0.747
0.016,0.054,0.054,0.769,0.769,0.192,0.93,0.84,0.84,0.384,0.384,0.435,0.435,0.464,0.638,0.638,0.724,0.724
0.007,0.055,0.055,0.196,0.722,0.722,0.34,0.418,0.418,0.569,0.569,0.898,0.822,0.822,0.66,0.66,0.717,0.785
0.512,0.512,0.017,0.061,0.075,0.197,0.899,0.819,0.819,0.669,0.669,0.494,0.494,0.344,0.718,0.627,0.498,0.498
0.007,0.058,0.058,0.199,0.643,0.643,0.338,0.513,0.513,0.518,0.518,0.646,0.646,0.891,0.843,0.843,0.824,0.757
0.59,0.59,0.009,0.046,0.074,0.369,0.369,0.21,0.751,0.751,0.466,0.466,0.8,0.8,0.73,0.662,0.662,0.445
