0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-0.009,0.055,0.055,0.177,0.244,0.244,-0.034,0.284,0.284,-0.027,-0.027,0.08,0.407,0.407,-0.346,-0.346,0.352,-0.19
-0.638,-0.298,-0.298,-0.276,0.083,0.083,-0.24,-0.072,-0.072,0.045,0.045,-0.368,0.049,0.049,0.073,0.073,-0.069,0.133
0.243,0.61,0.61,-0.018,-0.138,-0.138,-0.432,-0.108,-0.108,-0.014,-0.014,-0.001,-0.175,-0.175,0.171,0.171,0.017,-0.055
-0.262,-0.319,-0.319,0.344,0.016,0.016,0.077,0.045,0.045,-0.134,-0.134,0.021,0.0,0.0,-0.085,-0.085,-0.17,0.3
-0.11,-0.118,-0.118,0.034,0.014,0.014,0.026,-0.007,-0.007,0.078,0.078,0.18,-0.146,-0.146,-0.137,-0.137,0.162,0.031
0.043,0.158,0.158,0.467,-0.215,-0.215,-0.16,-0.297,-0.297,0.116,0.116,0.03,0.129,0.129,0.235,0.235,-0.12,-0.072
0.238,-0.224,-0.224,-0.046,0.134,0.134,-0.136,-0.264,-0.264,-0.062,-0.062,-0.078,-0.106,-0.106,0.149,0.149,0.151,-0.12
-0.02,-0.082,-0.082,0.15,0.169,0.169,-0.239,-0.032,-0.032,-0.008,-0.008,0.018,-0.217,-0.217,0.405,0.405,-0.476,0.576
0.096,-0.389,-0.389,0.065,-0.083,-0.083,0.025,0.203,0.203,-0.063,-0.063,-0.153,0.038,0.038,-0.001,-0.001,0.097,0.03
0.117,0.037,0.037,-0.067,-0.056,-0.056,0.09,-0.013,-0.013,-0.05,-0.05,-0.136,0.153,0.153,0.041,0.041,-0.613,0.263
0.028,-0.027,-0.027,0.166,0.208,0.208,0.361,0.147,0.147,-0.154,-0.154,-0.062,0.104,0.104,-0.142,-0.142,-0.024,0.201
0.073,0.244,0.244,0.121,0.397,0.397,0.421,0.259,0.259,-0.231,-0.231,-0.388,0.059,0.059,-0.092,-0.092,0.225,0.424
0.512,0.286,0.286,-0.389,0.074,0.074,0.093,0.192,0.192,-0.253,-0.253,0.053,-0.037,-0.037,-0.044,-0.044,-0.094,0.256
0.178,0.035,0.035,-0.281,0.048,0.048,0.335,0.02,0.02,0.011,0.011,-0.227,0.167,0.167,0.056,0.056,-0.048,0.164
0.247,0.176,0.176,0.058,0.167,0.167,-0.197,-0.222,-0.222,0.453,0.453,-0.452,0.153,0.153,-0.222,-0.222,-0.065,0.189
-0.082,-0.083,-0.083,-0.073,-0.172,-0.172,-0.205,-0.443,-0.443,-0.008,-0.008,0.172,0.031,0.031,0.162,0.162,-0.058,0.029
-0.051,0.03,0.03,0.235,0.205,0.205,0.302,-0.044,-0.044,0.09,0.09,0.455,-0.162,-0.162,0.02,0.02,-0.244,-0.094
0.032,0.015,0.015,-0.43,0.262,0.262,-0.195,0.021,0.021,-0.064,-0.064,0.356,-0.028,-0.028,0.09,0.09,-0.193,0.271
