0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.327,-0.327,0.319,-0.319,0.0,0.077,-0.077,0.0,0.0,0.189,-0.189,0.0,0.0,0.076,-0.076,0.0,0.0,0.0,0.009,-0.009,0.0,0.0,0.024,-0.024,0.0
0.0,0.051,-0.051,0.291,-0.291,0.274,-0.274,0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.027,-0.027,0.17,-0.17,0.0,0.008,-0.008,0.0,0.0,0.0,0.0
0.566,-0.566,0.326,-0.326,0.0,0.082,-0.082,0.174,-0.174,0.0,0.239,-0.239,0.0,0.049,-0.049,0.0,0.0,0.0,0.013,-0.013,0.0,0.0,0.0,0.027,-0.027
0.289,-0.289,0.277,-0.277,0.223,-0.223,0.0,0.053,-0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,-0.007,0.0,0.0,0.0,0.0,0.0
0.306,-0.306,0.0,0.099,-0.099,0.0,0.021,-0.021,0.0,0.17,-0.17,0.25,-0.25,0.067,-0.067,0.0,0.0,0.0,0.011,-0.011,0.0,0.0,0.024,-0.024,0.0
0.3,-0.3,0.282,-0.282,0.229,-0.229,0.0,0.075,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,-0.008,0.0,0.0,0.0,0.0,0.0
0.276,-0.276,0.031,-0.031,0.0,0.189,-0.189,0.0,0.057,-0.057,0.0,0.248,-0.248,0.0,0.039,-0.039,0.0,0.0,0.007,-0.007,0.0,0.0,0.0,0.0,0.0
0.478,-0.478,0.363,-0.363,0.0,0.0,0.136,-0.136,0.239,-0.239,0.0,0.013,-0.013,0.056,-0.056,0.0,0.0,0.0,0.009,-0.009,0.0,0.0,0.012,-0.012,0.0
0.321,-0.321,0.31,-0.31,0.205,-0.205,0.0,0.074,-0.074,0.0,0.0,0.0,0.0,0.066,-0.066,0.0,0.0,0.0,0.009,-0.009,0.0,0.0,0.02,-0.02,0.0
0.0,0.0,0.01,-0.01,0.0,0.0,0.33,-0.33,0.0,0.026,-0.026,0.287,-0.287,0.0,0.191,-0.191,0.0,0.024,-0.024,0.03,-0.03,0.0,0.0,0.052,-0.052
