0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.895,0.881,0.881,0.671,0.671,0.779,0.577,0.577,0.665,0.592,0.52,0.395,0.395,0.377,-0.04,-0.01,0.018,0.018,0.268,0.268,0.08,0.091,0.178,0.139,0.264
0.673,0.673,0.597,0.597,0.87,0.815,0.815,0.802,0.72,0.625,0.543,0.407,0.407,-0.041,-0.008,0.018,0.018,0.363,0.272,0.272,0.254,0.083,0.094,0.184,0.138
0.669,0.669,0.905,0.905,0.874,0.774,0.605,0.605,0.631,0.522,0.473,0.425,0.362,0.362,-0.04,-0.01,0.02,0.02,0.081,0.092,0.139,0.184,0.264,0.264,0.249
0.769,0.769,0.91,0.847,0.847,0.72,0.672,0.582,0.582,0.572,0.499,0.327,0.327,0.363,-0.034,-0.012,0.018,0.018,0.08,0.089,0.238,0.238,0.177,0.177,0.173
0.7,0.7,0.887,0.844,0.844,0.823,0.6,0.6,0.691,0.653,0.541,0.402,0.402,-0.041,-0.01,0.018,0.018,0.082,0.094,0.138,0.189,0.249,0.249,0.256,0.352
0.428,0.428,0.777,0.777,0.845,0.745,0.488,0.488,0.636,0.525,0.398,0.398,0.476,0.405,0.304,0.304,-0.052,0.228,0.006,0.006,0.018,0.171,0.104,0.082,0.091
0.396,0.396,0.978,0.766,0.766,0.736,0.736,0.417,0.417,0.424,0.424,0.499,0.467,0.429,0.282,0.282,-0.05,-0.026,0.018,0.018,0.07,0.109,0.109,0.136,0.109
0.694,0.694,0.659,0.659,0.847,0.847,0.795,0.74,0.74,0.599,0.57,0.361,0.361,-0.04,-0.013,0.022,0.022,0.072,0.092,0.113,0.269,0.189,0.216,0.216,0.233
0.696,0.696,0.891,0.838,0.838,0.814,0.589,0.589,0.676,0.676,0.539,0.394,0.394,-0.041,-0.01,0.017,0.017,0.335,0.08,0.091,0.135,0.24,0.24,0.255,0.191
0.678,0.678,0.888,0.845,0.845,0.793,0.699,0.567,0.567,0.551,0.551,0.423,0.423,0.389,-0.041,-0.01,0.021,0.021,0.265,0.265,0.264,0.082,0.093,0.175,0.141
