0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.026,-0.026,-0.054,-0.054,0.238,-0.22,0.039,0.039,0.217,0.217,0.101,-0.005,-0.005,0.035,0.035,0.076,-0.057,-0.058,-0.162,-0.162,-0.245,-0.24,0.064,0.064,0.064
0.078,0.078,0.05,0.05,0.036,0.015,0.085,0.085,-0.054,-0.054,0.307,-0.288,-0.288,0.093,0.093,0.256,0.017,0.083,0.062,0.062,-0.068,0.32,0.397,0.397,-0.249
0.073,0.073,0.145,0.145,-0.111,0.346,-0.254,-0.254,-0.077,-0.077,0.144,0.134,0.134,0.037,0.037,-0.016,-0.101,-0.188,0.08,0.08,0.171,-0.035,0.289,0.289,0.385
0.032,0.032,-0.02,-0.02,0.459,-0.291,0.186,0.186,0.057,0.057,-0.085,0.258,0.258,0.0,0.0,0.121,-0.21,0.066,0.014,0.014,-0.118,-0.05,0.069,0.069,0.067
-0.074,-0.074,-0.069,-0.069,0.24,-0.372,0.125,0.125,0.046,0.046,-0.192,-0.087,-0.087,0.014,0.014,0.048,0.323,0.179,0.165,0.165,0.1,-0.206,0.032,0.032,0.031
-0.058,-0.058,-0.082,-0.082,-0.024,0.335,-0.088,-0.088,0.047,0.047,0.133,0.23,0.23,0.153,0.153,0.086,0.033,-0.147,0.066,0.066,-0.169,-0.112,-0.132,-0.132,-0.318
0.125,0.125,0.273,0.273,0.197,-0.216,0.021,0.021,-0.104,-0.104,-0.195,0.084,0.084,0.159,0.159,-0.178,0.253,-0.285,-0.184,-0.184,-0.112,0.165,-0.001,-0.001,-0.416
-0.038,-0.038,-0.043,-0.043,0.334,-0.28,0.004,0.004,-0.104,-0.104,-0.076,-0.047,-0.047,0.154,0.154,-0.164,-0.164,0.02,-0.067,-0.067,0.385,-0.054,-0.286,-0.286,-0.334
0.014,0.014,0.065,0.065,-0.269,0.172,-0.069,-0.069,-0.055,-0.055,0.02,-0.096,-0.096,0.196,0.196,0.043,0.038,0.148,0.033,0.033,-0.427,-0.273,-0.318,-0.318,0.129
0.198,0.198,0.122,0.122,0.065,0.126,0.108,0.108,-0.068,-0.068,0.342,-0.02,-0.02,-0.0,-0.0,-0.131,-0.046,0.281,0.032,0.032,-0.038,-0.322,-0.05,-0.05,-0.148
-0.095,-0.095,-0.243,-0.243,0.193,0.056,0.008,0.008,0.224,0.224,0.302,-0.14,-0.14,-0.204,-0.204,-0.29,0.16,0.147,-0.059,-0.059,0.022,-0.112,-0.019,-0.019,-0.181
-0.069,-0.069,-0.027,-0.027,0.111,-0.161,-0.019,-0.019,0.089,0.089,-0.24,0.055,0.055,0.229,0.229,0.065,0.232,0.039,0.428,0.428,-0.081,0.043,-0.029,-0.029,-0.059
