0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.348,-0.348,0.268,-0.268,0.212,-0.212,0.0,0.0,0.076,-0.076,0.0,0.0,0.0,0.0,0.103,-0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.05,0.0
0.403,-0.403,0.329,-0.329,0.22,-0.22,0.0,0.095,-0.095,0.0,0.0,0.0,0.0,0.106,-0.106,0.0,0.045,-0.045,0.0,0.0,0.007,-0.007,0.0,0.0,0.0
0.553,-0.553,0.449,-0.449,0.208,-0.208,0.0,0.0,0.0,0.218,-0.218,0.047,-0.047,0.0,0.065,-0.065,0.0,0.0,0.0,0.0,0.013,-0.013,0.039,-0.039,0.0
0.381,-0.381,0.0,0.033,-0.033,0.032,-0.032,0.224,-0.224,0.03,-0.03,0.204,-0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.033,-0.033,0.0,0.0,0.0,0.0
0.357,-0.357,0.323,-0.323,0.22,-0.22,0.0,0.049,-0.049,0.0,0.0,0.0,0.0,0.0,0.104,-0.104,0.046,-0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.345,-0.345,0.182,-0.182,0.0,0.0,0.0,0.0,0.073,-0.073,0.0,0.249,-0.249,0.0,0.0,0.007,-0.007,0.0,0.0,0.0,0.089,-0.089,0.0,0.047,-0.047
0.621,-0.621,0.0,0.351,-0.351,0.05,-0.05,0.325,-0.325,0.143,-0.143,0.0,0.0,0.022,-0.022,0.0,0.0,0.05,-0.05,0.0,0.046,-0.046,0.0,0.0,0.0
0.366,-0.366,0.32,-0.32,0.0,0.054,-0.054,0.012,-0.012,0.22,-0.22,0.021,-0.021,0.0,0.093,-0.093,0.04,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,-0.35,0.312,-0.312,0.22,-0.22,0.0,0.0,0.071,-0.071,0.01,-0.01,0.0,0.0,0.105,-0.105,0.048,-0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.322,-0.322,0.0,0.117,-0.117,0.0,0.201,-0.201,0.0,0.021,-0.021,0.0,0.0,0.014,-0.014,0.0,0.0,0.165,-0.165,0.158,-0.158,0.035,-0.035,0.0,0.0
