0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.654,0.654,0.501,0.501,0.694,0.694,0.894,0.873,0.792,0.792,0.835,0.813,0.706,0.5,0.392,0.392,-0.045,0.016,0.031,0.035,0.112,0.094,0.317,0.317,0.225
0.643,0.643,0.497,0.497,0.651,0.651,0.906,0.836,0.836,0.836,0.799,0.725,0.668,0.472,0.472,0.495,0.317,0.317,0.24,-0.042,0.034,0.034,0.025,0.112,0.096
0.493,0.493,0.506,0.506,0.772,0.772,0.838,0.812,0.781,0.469,0.469,0.65,0.65,0.563,0.524,0.524,-0.045,0.011,0.029,0.041,0.109,0.109,0.303,0.303,0.212
0.557,0.557,0.934,0.882,0.882,0.78,0.78,0.629,0.629,0.663,0.663,0.469,0.469,-0.04,0.024,0.031,0.045,0.084,0.118,0.515,0.515,0.417,0.368,0.241,0.297
0.644,0.644,0.532,0.532,0.64,0.64,0.9,0.821,0.821,0.847,0.818,0.73,0.672,0.56,0.423,0.423,0.32,0.32,0.232,-0.043,0.017,0.029,0.041,0.112,0.093
0.651,0.651,0.7,0.7,0.897,0.874,0.836,0.83,0.781,0.781,0.708,0.498,0.498,-0.046,0.015,0.031,0.031,0.091,0.112,0.464,0.366,0.366,0.223,0.312,0.312
0.306,0.306,0.944,0.67,0.67,0.82,0.82,0.377,0.377,0.578,0.578,0.676,0.611,0.524,0.524,0.366,0.279,0.194,0.194,-0.051,0.008,0.008,0.01,0.101,0.09
0.609,0.609,0.556,0.556,0.907,0.851,0.851,0.813,0.813,0.606,0.606,0.694,0.694,0.537,0.446,0.446,0.323,0.323,0.24,-0.041,0.021,0.032,0.043,0.116,0.091
0.641,0.641,0.521,0.521,0.656,0.656,0.893,0.866,0.795,0.795,0.798,0.798,0.668,0.549,0.425,0.425,0.316,0.316,0.229,-0.044,0.017,0.042,0.026,0.11,0.094
0.742,0.742,0.942,0.859,0.859,0.862,0.603,0.603,0.767,0.705,0.705,-0.047,0.016,0.028,0.028,0.096,0.117,0.447,0.447,0.343,0.343,0.268,0.268,0.406,0.347
