0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-0.135,-0.135,-0.081,0.116,0.116,-0.091,-0.091,-0.177,-0.177,-0.267,-0.267,-0.24,-0.24,0.095,-0.055,0.047,0.019,-0.301,-0.372,0.103,0.103,0.119,-0.051,-0.12,0.141
0.135,0.135,-0.118,-0.17,-0.17,-0.06,-0.06,0.209,0.209,-0.004,-0.004,0.023,0.023,-0.239,0.175,-0.186,0.227,0.305,0.042,-0.16,-0.16,-0.027,-0.085,-0.087,0.083
0.292,0.292,-0.001,-0.027,-0.027,0.167,0.167,0.179,0.179,0.233,0.233,-0.057,-0.057,0.032,-0.003,-0.081,0.039,-0.023,-0.062,-0.265,-0.265,0.193,0.274,-0.203,-0.161
0.132,0.132,0.079,-0.233,-0.233,0.027,0.027,0.166,0.166,0.018,0.018,0.324,0.324,0.162,-0.153,0.068,0.07,-0.241,0.028,-0.028,-0.028,-0.188,-0.22,-0.154,0.161
0.207,0.207,0.375,-0.135,-0.135,0.089,0.089,0.138,0.138,0.025,0.025,0.005,0.005,0.239,0.278,-0.334,0.237,0.282,0.032,0.0,0.0,0.098,-0.134,0.322,0.282
-0.061,-0.061,-0.216,0.171,0.171,-0.137,-0.137,-0.057,-0.057,-0.149,-0.149,0.107,0.107,0.328,0.064,-0.168,0.165,0.169,0.145,-0.091,-0.091,-0.128,-0.078,0.238,0.088
0.021,0.021,-0.117,0.069,0.069,0.122,0.122,-0.073,-0.073,-0.092,-0.092,-0.005,-0.005,0.179,0.067,0.032,-0.155,0.148,-0.261,0.183,0.183,-0.123,-0.255,0.244,0.167
-0.37,-0.37,-0.171,0.255,0.255,0.087,0.087,-0.521,-0.521,-0.024,-0.024,-0.112,-0.112,-0.092,0.232,-0.284,0.336,0.284,0.248,0.523,0.523,-0.291,-0.234,-0.088,-0.028
0.178,0.178,-0.249,0.25,0.25,0.296,0.296,0.225,0.225,0.19,0.19,0.172,0.172,-0.3,0.098,-0.097,-0.025,0.078,-0.2,-0.187,-0.187,0.285,0.236,0.049,-0.322
-0.026,-0.026,-0.279,0.126,0.126,0.116,0.116,0.051,0.051,0.323,0.323,0.078,0.078,-0.081,0.265,-0.217,0.053,0.118,-0.34,-0.13,-0.13,-0.129,-0.023,0.168,0.077
-0.02,-0.02,-0.258,0.324,0.324,-0.019,-0.019,-0.005,-0.005,-0.034,-0.034,0.045,0.045,0.051,0.257,-0.229,0.134,0.269,-0.032,0.123,0.123,-0.089,-0.121,-0.397,0.099
0.069,0.069,-0.177,0.375,0.375,0.067,0.067,0.109,0.109,0.045,0.045,-0.189,-0.189,-0.341,0.03,0.003,0.087,-0.223,0.217,-0.022,-0.022,0.109,-0.021,-0.047,0.184
0.14,0.14,-0.132,0.011,0.011,-0.084,-0.084,0.089,0.089,0.112,0.112,0.12,0.12,0.272,0.138,-0.088,-0.005,0.009,0.093,0.131,0.131,-0.273,-0.233,0.303,0.167
0.062,0.062,0.196,-0.161,-0.161,0.16,0.16,-0.017,-0.017,-0.154,-0.154,0.008,0.008,-0.24,-0.061,0.071,-0.091,0.027,0.208,0.028,0.028,0.261,0.232,0.164,-0.112
0.122,0.122,-0.173,0.248,0.248,0.419,0.419,0.231,0.231,0.409,0.409,-0.037,-0.037,0.089,-0.151,0.137,0.035,0.079,0.251,-0.31,-0.31,0.284,0.313,0.087,-0.167
0.106,0.106,0.155,0.003,0.003,0.179,0.179,0.074,0.074,0.125,0.125,-0.019,-0.019,0.159,-0.426,0.457,-0.513,0.135,-0.137,-0.275,-0.275,-0.266,-0.17,-0.082,0.037
0.129,0.129,-0.193,0.216,0.216,0.185,0.185,-0.084,-0.084,0.139,0.139,0.235,0.235,-0.157,-0.283,0.241,-0.124,-0.19,-0.085,0.155,0.155,-0.335,-0.272,0.083,0.137
0.396,0.396,0.226,-0.293,-0.293,-0.2,-0.2,0.272,0.272,-0.028,-0.028,0.281,0.281,-0.079,0.128,-0.058,0.138,-0.137,-0.033,-0.205,-0.205,0.228,0.29,0.224,-0.267
-0.084,-0.084,-0.305,0.149,0.149,-0.009,-0.009,-0.134,-0.134,-0.116,-0.116,-0.184,-0.184,0.113,-0.221,0.18,-0.105,-0.405,0.229,0.06,0.06,-0.047,-0.121,-0.104,0.113
0.039,0.039,0.08,-0.025,-0.025,0.287,0.287,0.066,0.066,0.152,0.152,0.006,0.006,0.241,0.377,-0.326,0.26,-0.161,0.336,-0.133,-0.133,0.092,0.112,-0.23,-0.094
0.009,0.009,-0.137,0.131,0.131,0.094,0.094,-0.094,-0.094,-0.039,-0.039,-0.069,-0.069,0.198,0.145,-0.036,0.042,-0.124,-0.098,-0.118,-0.118,0.133,0.218,-0.306,-0.296
0.016,0.016,-0.275,0.138,0.138,-0.083,-0.083,0.018,0.018,-0.087,-0.087,-0.05,-0.05,0.26,-0.257,0.252,-0.312,0.246,0.098,0.126,0.126,0.334,0.254,0.08,-0.13
0.084,0.084,0.074,-0.16,-0.16,-0.268,-0.268,0.017,0.017,-0.218,-0.218,-0.004,-0.004,-0.222,0.171,-0.199,0.189,0.205,0.378,-0.187,-0.187,0.045,0.213,-0.167,-0.426
0.119,0.119,0.293,-0.238,-0.238,-0.287,-0.287,0.165,0.165,0.029,0.029,0.037,0.037,0.19,-0.09,0.008,0.087,-0.122,-0.05,0.01,0.01,0.241,0.217,-0.324,-0.367
0.089,0.089,0.145,-0.177,-0.177,-0.208,-0.208,0.041,0.041,0.026,0.026,0.232,0.232,-0.164,-0.132,0.277,-0.406,-0.012,0.167,0.018,0.018,-0.104,-0.163,-0.091,0.224
