0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.0,-0.0,0.0,0.117,-0.117,0.168,-0.168,0.0,0.249,-0.249,0.0,-0.228,0.228,0.0,0.0,-0.108,0.108,-0.155,0.155,0.005,-0.005,0.0,0.0,-0.162,0.162
0.087,-0.087,0.0,-0.244,0.244,0.069,-0.069,0.0,-0.3,0.3,0.0,0.327,-0.327,0.0,0.0,0.025,-0.025,0.086,-0.086,0.191,-0.191,0.0,0.0,-0.104,0.104
-0.082,0.082,0.0,0.039,-0.039,0.044,-0.044,0.0,-0.024,0.024,0.0,-0.032,0.032,0.0,0.0,0.122,-0.122,0.015,-0.015,0.02,-0.02,0.0,0.0,-0.0,0.0
-0.071,0.071,0.0,0.096,-0.096,-0.062,0.062,0.0,0.091,-0.091,0.0,-0.188,0.188,0.0,0.0,0.085,-0.085,0.114,-0.114,0.182,-0.182,0.0,0.0,-0.033,0.033
0.182,-0.182,0.0,-0.04,0.04,0.114,-0.114,0.0,-0.077,0.077,0.0,0.026,-0.026,0.0,0.0,-0.063,0.063,0.0,-0.0,0.002,-0.002,0.0,0.0,0.042,-0.042
-0.146,0.146,0.0,0.112,-0.112,-0.118,0.118,0.0,0.134,-0.134,0.0,-0.064,0.064,0.0,0.0,-0.06,0.06,-0.049,0.049,0.113,-0.113,0.0,0.0,0.035,-0.035
0.343,-0.343,0.0,0.031,-0.031,-0.128,0.128,0.0,0.103,-0.103,0.0,-0.003,0.003,0.0,0.0,0.022,-0.022,0.022,-0.022,0.111,-0.111,0.0,0.0,0.002,-0.002
0.025,-0.025,0.0,0.001,-0.001,-0.066,0.066,0.0,0.242,-0.242,0.0,-0.249,0.249,0.0,0.0,-0.055,0.055,-0.002,0.002,-0.086,0.086,0.0,0.0,0.025,-0.025
0.079,-0.079,0.0,-0.046,0.046,0.011,-0.011,0.0,-0.235,0.235,0.0,0.315,-0.315,0.0,0.0,-0.11,0.11,-0.01,0.01,-0.001,0.001,0.0,0.0,-0.037,0.037
-0.093,0.093,0.0,0.0,-0.0,0.15,-0.15,0.0,0.004,-0.004,0.0,-0.018,0.018,0.0,0.0,-0.021,0.021,0.067,-0.067,-0.005,0.005,0.0,0.0,-0.077,0.077
0.054,-0.054,0.0,-0.07,0.07,0.027,-0.027,0.0,-0.056,0.056,0.0,-0.039,0.039,0.0,0.0,-0.096,0.096,-0.116,0.116,0.0,-0.0,0.0,0.0,0.228,-0.228
0.338,-0.338,0.0,0.038,-0.038,0.0,-0.0,0.0,0.252,-0.252,0.0,-0.06,0.06,0.0,0.0,0.045,-0.045,-0.019,0.019,-0.057,0.057,0.0,0.0,-0.063,0.063
0.005,-0.005,0.0,0.055,-0.055,0.053,-0.053,0.0,0.036,-0.036,0.0,-0.025,0.025,0.0,0.0,0.161,-0.161,-0.029,0.029,0.035,-0.035,0.0,0.0,-0.076,0.076
0.042,-0.042,0.0,-0.04,0.04,0.041,-0.041,0.0,0.274,-0.274,0.0,-0.095,0.095,0.0,0.0,0.105,-0.105,-0.028,0.028,0.042,-0.042,0.0,0.0,-0.019,0.019
0.121,-0.121,0.0,0.074,-0.074,-0.048,0.048,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.117,0.117,0.031,-0.031,0.007,-0.007,0.0,0.0,0.063,-0.063
-0.14,0.14,0.0,0.064,-0.064,-0.066,0.066,0.0,0.036,-0.036,0.0,-0.113,0.113,0.0,0.0,0.045,-0.045,0.036,-0.036,0.042,-0.042,0.0,0.0,-0.366,0.366
-0.075,0.075,0.0,0.111,-0.111,0.047,-0.047,0.0,-0.033,0.033,0.0,0.01,-0.01,0.0,0.0,0.143,-0.143,0.024,-0.024,0.026,-0.026,0.0,0.0,-0.041,0.041
0.193,-0.193,0.0,0.117,-0.117,0.022,-0.022,0.0,-0.032,0.032,0.0,0.121,-0.121,0.0,0.0,-0.069,0.069,-0.025,0.025,0.188,-0.188,0.0,0.0,-0.112,0.112
0.149,-0.149,0.0,0.067,-0.067,0.11,-0.11,0.0,-0.101,0.101,0.0,0.078,-0.078,0.0,0.0,-0.15,0.15,0.056,-0.056,0.181,-0.181,0.0,0.0,0.036,-0.036
0.019,-0.019,0.0,0.089,-0.089,0.053,-0.053,0.0,0.032,-0.032,0.0,0.129,-0.129,0.0,0.0,0.049,-0.049,-0.053,0.053,0.268,-0.268,0.0,0.0,0.019,-0.019
-0.17,0.17,0.0,0.193,-0.193,0.084,-0.084,0.0,0.079,-0.079,0.0,-0.101,0.101,0.0,0.0,0.097,-0.097,0.121,-0.121,-0.242,0.242,0.0,0.0,0.162,-0.162
-0.117,0.117,0.0,-0.188,0.188,0.025,-0.025,0.0,-0.167,0.167,0.0,0.01,-0.01,0.0,0.0,0.029,-0.029,-0.094,0.094,0.119,-0.119,0.0,0.0,0.0,-0.0
-0.076,0.076,0.0,0.033,-0.033,0.013,-0.013,0.0,0.086,-0.086,0.0,-0.047,0.047,0.0,0.0,-0.075,0.075,-0.11,0.11,-0.021,0.021,0.0,0.0,-0.096,0.096
-0.022,0.022,0.0,-0.066,0.066,0.023,-0.023,0.0,0.143,-0.143,0.0,-0.098,0.098,0.0,0.0,-0.038,0.038,0.16,-0.16,0.118,-0.118,0.0,0.0,-0.094,0.094
-0.166,0.166,0.0,0.024,-0.024,0.051,-0.051,0.0,-0.014,0.014,0.0,0.146,-0.146,0.0,0.0,0.0,-0.0,0.165,-0.165,0.126,-0.126,0.0,0.0,0.18,-0.18
