0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0.003,-0.003,0.082,-0.082,0.0,0.0,0.071,-0.071,0.0,0.012,-0.012,0.09,-0.09,0.0,0.0,0.103,-0.103,0.0,0.0,0.0,-0.177,0.177,0.0,0.0,0.0
0.234,-0.234,0.22,-0.22,0.0,0.0,-0.023,0.023,0.0,0.161,-0.161,0.044,-0.044,0.0,0.0,-0.105,0.105,0.0,0.0,0.0,0.12,-0.12,0.0,0.0,0.0
-0.05,0.05,0.135,-0.135,0.0,0.0,0.037,-0.037,0.0,0.022,-0.022,-0.026,0.026,0.0,0.0,-0.138,0.138,0.0,0.0,0.0,0.167,-0.167,0.0,0.0,0.0
-0.186,0.186,-0.094,0.094,0.0,0.0,-0.026,0.026,0.0,0.112,-0.112,-0.034,0.034,0.0,0.0,0.138,-0.138,0.0,0.0,0.0,0.151,-0.151,0.0,0.0,0.0
0.14,-0.14,0.16,-0.16,0.0,0.0,-0.026,0.026,0.0,-0.029,0.029,0.061,-0.061,0.0,0.0,-0.025,0.025,0.0,0.0,0.0,0.044,-0.044,0.0,0.0,0.0
-0.218,0.218,-0.016,0.016,0.0,0.0,0.104,-0.104,0.0,-0.066,0.066,-0.044,0.044,0.0,0.0,-0.043,0.043,0.0,0.0,0.0,-0.089,0.089,0.0,0.0,0.0
0.093,-0.093,0.013,-0.013,0.0,0.0,-0.199,0.199,0.0,-0.187,0.187,-0.15,0.15,0.0,0.0,-0.077,0.077,0.0,0.0,0.0,-0.121,0.121,0.0,0.0,0.0
-0.154,0.154,-0.155,0.155,0.0,0.0,0.12,-0.12,0.0,0.084,-0.084,-0.144,0.144,0.0,0.0,0.055,-0.055,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.172,-0.172,0.119,-0.119,0.0,0.0,-0.134,0.134,0.0,-0.274,0.274,-0.12,0.12,0.0,0.0,0.089,-0.089,0.0,0.0,0.0,-0.013,0.013,0.0,0.0,0.0
-0.006,0.006,0.026,-0.026,0.0,0.0,-0.053,0.053,0.0,0.211,-0.211,0.105,-0.105,0.0,0.0,-0.141,0.141,0.0,0.0,0.0,-0.07,0.07,0.0,0.0,0.0
-0.138,0.138,-0.252,0.252,0.0,0.0,0.105,-0.105,0.0,-0.079,0.079,-0.019,0.019,0.0,0.0,-0.147,0.147,0.0,0.0,0.0,-0.015,0.015,0.0,0.0,0.0
-0.045,0.045,-0.219,0.219,0.0,0.0,0.0,-0.0,0.0,-0.102,0.102,0.041,-0.041,0.0,0.0,0.201,-0.201,0.0,0.0,0.0,0.065,-0.065,0.0,0.0,0.0
0.133,-0.133,0.095,-0.095,0.0,0.0,-0.237,0.237,0.0,0.0,-0.0,-0.163,0.163,0.0,0.0,-0.17,0.17,0.0,0.0,0.0,0.106,-0.106,0.0,0.0,0.0
-0.317,0.317,-0.336,0.336,0.0,0.0,0.027,-0.027,0.0,0.085,-0.085,-0.018,0.018,0.0,0.0,0.182,-0.182,0.0,0.0,0.0,-0.089,0.089,0.0,0.0,0.0
0.096,-0.096,0.118,-0.118,0.0,0.0,-0.092,0.092,0.0,0.092,-0.092,-0.186,0.186,0.0,0.0,-0.109,0.109,0.0,0.0,0.0,-0.091,0.091,0.0,0.0,0.0
-0.049,0.049,-0.122,0.122,0.0,0.0,-0.119,0.119,0.0,0.062,-0.062,0.197,-0.197,0.0,0.0,-0.131,0.131,0.0,0.0,0.0,-0.038,0.038,0.0,0.0,0.0
-0.033,0.033,-0.019,0.019,0.0,0.0,0.12,-0.12,0.0,0.033,-0.033,-0.031,0.031,0.0,0.0,-0.072,0.072,0.0,0.0,0.0,0.065,-0.065,0.0,0.0,0.0
-0.212,0.212,-0.133,0.133,0.0,0.0,-0.01,0.01,0.0,-0.126,0.126,-0.143,0.143,0.0,0.0,-0.158,0.158,0.0,0.0,0.0,0.143,-0.143,0.0,0.0,0.0
0.215,-0.215,0.142,-0.142,0.0,0.0,-0.096,0.096,0.0,0.324,-0.324,0.0,-0.0,0.0,0.0,0.035,-0.035,0.0,0.0,0.0,-0.053,0.053,0.0,0.0,0.0
0.06,-0.06,-0.118,0.118,0.0,0.0,0.107,-0.107,0.0,0.037,-0.037,0.074,-0.074,0.0,0.0,0.037,-0.037,0.0,0.0,0.0,-0.043,0.043,0.0,0.0,0.0
-0.025,0.025,0.02,-0.02,0.0,0.0,0.061,-0.061,0.0,0.085,-0.085,0.204,-0.204,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.05,-0.05,0.0,0.0,0.0
0.141,-0.141,-0.032,0.032,0.0,0.0,-0.046,0.046,0.0,-0.092,0.092,0.076,-0.076,0.0,0.0,0.007,-0.007,0.0,0.0,0.0,0.114,-0.114,0.0,0.0,0.0
0.0,-0.0,0.0,-0.0,0.0,0.0,0.178,-0.178,0.0,-0.058,0.058,0.095,-0.095,0.0,0.0,0.121,-0.121,0.0,0.0,0.0,-0.017,0.017,0.0,0.0,0.0
0.122,-0.122,0.16,-0.16,0.0,0.0,0.044,-0.044,0.0,-0.002,0.002,-0.139,0.139,0.0,0.0,-0.07,0.07,0.0,0.0,0.0,-0.085,0.085,0.0,0.0,0.0
0.103,-0.103,-0.116,0.116,0.0,0.0,0.017,-0.017,0.0,-0.019,0.019,0.018,-0.018,0.0,0.0,0.107,-0.107,0.0,0.0,0.0,-0.021,0.021,0.0,0.0,0.0
