0,1,2,3,4,5,6,7,8,9,10
0.325,-0.325,0.218,-0.218,0.139,-0.139,0.0,0.067,-0.067,0.0,0.0
0.115,-0.115,0.291,-0.291,0.06,-0.06,0.0,0.094,-0.094,0.0,0.0
0.429,-0.429,0.191,-0.191,0.0,0.04,-0.04,0.0,0.049,-0.049,0.0
0.567,-0.567,0.291,-0.291,0.0,0.187,-0.187,0.064,-0.064,0.0,0.0
0.632,-0.632,0.313,-0.313,0.026,-0.026,0.0,0.0,0.0,0.0,0.0
0.227,-0.227,0.273,-0.273,0.0,0.049,-0.049,0.131,-0.131,0.061,-0.061
0.101,-0.101,0.273,-0.273,0.207,-0.207,0.027,-0.027,0.0,0.0,0.0
0.347,-0.347,0.215,-0.215,0.015,-0.015,0.1,-0.1,0.041,-0.041,0.0
0.0,0.314,-0.314,0.111,-0.111,0.098,-0.098,0.098,-0.098,0.0,0.0
0.42,-0.42,0.019,-0.019,0.0,0.041,-0.041,0.0,0.05,-0.05,0.0
0.354,-0.354,0.349,-0.349,0.114,-0.114,0.114,-0.114,0.038,-0.038,0.0
0.41,-0.41,0.202,-0.202,0.052,-0.052,0.0,0.052,-0.052,0.0,0.0
0.325,-0.325,0.118,-0.118,0.0,0.156,-0.156,0.096,-0.096,0.0,0.0
0.376,-0.376,0.172,-0.172,0.051,-0.051,0.097,-0.097,0.0,0.046,-0.046
0.318,-0.318,0.236,-0.236,0.147,-0.147,0.0,0.032,-0.032,0.025,-0.025
0.483,-0.483,0.243,-0.243,0.083,-0.083,0.069,-0.069,0.004,-0.004,0.0
