0,1,2,3,4,5,6,7,8,9,10
-0.376,0.376,0.182,-0.182,0.313,-0.313,0.27,-0.27,-0.022,0.022,0.0
0.159,-0.159,0.0,-0.0,0.273,-0.273,-0.149,0.149,-0.001,0.001,0.0
-0.092,0.092,-0.076,0.076,-0.084,0.084,-0.331,0.331,0.023,-0.023,0.0
-0.132,0.132,0.368,-0.368,-0.002,0.002,-0.255,0.255,0.027,-0.027,0.0
0.131,-0.131,-0.047,0.047,-0.007,0.007,-0.258,0.258,0.034,-0.034,0.0
0.391,-0.391,0.328,-0.328,0.0,-0.0,0.369,-0.369,-0.04,0.04,0.0
-0.35,0.35,0.205,-0.205,0.006,-0.006,-0.055,0.055,-0.025,0.025,0.0
-0.108,0.108,-0.125,0.125,-0.098,0.098,0.0,-0.0,0.034,-0.034,0.0
0.0,-0.0,-0.004,0.004,-0.022,0.022,-0.265,0.265,0.001,-0.001,0.0
0.128,-0.128,0.014,-0.014,0.091,-0.091,-0.282,0.282,0.0,-0.0,0.0
-0.063,0.063,-0.124,0.124,-0.094,0.094,-0.159,0.159,0.008,-0.008,0.0
