0,1,2,3,4,5,6,7,8,9,10
0.68,0.68,0.52,0.52,0.688,0.688,0.883,0.799,0.799,0.748,0.793
0.35,0.35,0.778,0.778,0.553,0.553,0.692,0.908,0.908,0.802,0.972
0.689,0.689,0.437,0.437,0.583,0.731,0.731,0.905,0.846,0.846,0.824
0.466,0.466,0.551,0.551,0.363,0.737,0.737,0.565,0.565,0.858,0.802
0.191,0.191,0.713,0.713,0.888,0.888,0.242,0.369,0.677,0.497,0.523
0.544,0.544,0.684,0.684,0.897,0.844,0.844,0.709,0.709,0.695,0.695
0.484,0.484,0.687,0.687,0.645,0.645,0.912,0.912,0.685,0.723,0.818
0.659,0.659,0.685,0.685,0.563,0.563,0.736,0.736,0.855,0.855,0.827
0.424,0.712,0.712,0.535,0.535,0.706,0.706,0.836,0.836,0.902,0.874
0.662,0.662,0.436,0.436,0.617,0.7,0.7,0.784,0.857,0.857,0.903
0.481,0.481,0.647,0.647,0.674,0.674,0.714,0.714,0.862,0.862,0.782
0.657,0.657,0.482,0.482,0.652,0.652,0.739,0.803,0.803,0.892,0.842
0.757,0.757,0.429,0.429,0.547,0.638,0.638,0.849,0.849,0.833,0.953
0.63,0.63,0.512,0.512,0.63,0.63,0.793,0.793,0.896,0.823,0.823
0.657,0.657,0.547,0.547,0.672,0.672,0.9,0.849,0.849,0.696,0.696
0.672,0.672,0.466,0.466,0.624,0.624,0.761,0.761,0.827,0.827,0.869
