0,1,2,3,4,5,6,7,8,9,10
0.16,-0.553,-0.553,-0.126,-0.126,-0.012,-0.012,-0.114,-0.114,-0.174,0.152
0.563,0.132,0.132,-0.426,-0.426,0.247,0.247,0.157,0.157,-0.143,0.099
-0.603,-0.107,-0.107,0.461,0.461,-0.144,-0.144,0.092,0.092,-0.003,-0.119
0.264,-0.111,-0.111,-0.408,-0.408,0.486,0.486,-0.247,-0.247,0.214,-0.08
-0.111,0.068,0.068,0.107,0.107,0.102,0.102,0.03,0.03,-0.28,-0.018
0.169,0.149,0.149,-0.109,-0.109,-0.309,-0.309,0.056,0.056,0.013,-0.019
0.15,-0.279,-0.279,-0.27,-0.27,-0.084,-0.084,0.476,0.476,-0.292,0.222
0.366,-0.079,-0.079,-0.299,-0.299,0.016,0.016,-0.29,-0.29,-0.107,-0.059
0.002,-0.064,-0.064,0.021,0.021,0.078,0.078,0.084,0.084,0.172,-0.055
0.037,0.042,0.042,-0.099,-0.099,0.468,0.468,-0.313,-0.313,-0.821,0.921
-0.158,-0.095,-0.095,0.233,0.233,0.004,0.004,-0.196,-0.196,-0.158,0.206
